Comment,Designator,Footprint,LCSC
"1 uF","C1","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"100 nF","C2,C3,C6","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"100 uF","C5","Capacitor_SMD:CP_Elec_6.3x5.4",""
"270 pF","C7","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"220 uF","C8","Capacitor_SMD:CP_Elec_6.3x5.4",""
"1N5819","D6","Diode_SMD:D_SMA-SMB_Universal_Handsoldering",""
"SWD","J1","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"Клемма питания","J2","TerminalBlock:TerminalBlock_bornier-2_P5.08mm",""
"Выходная клемма","J3","TerminalBlock:TerminalBlock_bornier-5_P5.08mm",""
"ENC1","J4","Connector_JST:JST_ZE_BM04B-ZESS-TBT_1x04-1MP_P1.50mm_Vertical",""
"I2C","J5","Connector_JST:JST_ZE_BM04B-ZESS-TBT_1x04-1MP_P1.50mm_Vertical",""
"UART","J6","Connector_JST:JST_ZE_BM04B-ZESS-TBT_1x04-1MP_P1.50mm_Vertical",""
"Jumper_3_Open","JP1","Jumper:SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm",""
"47 uH","L1","Inductor_SMD:L_10.4x10.4_H4.8",""
"AOD4184A","Q9,Q10,Q11,Q12","Package_TO_SOT_SMD:TO-252-2",""
"2N3904","Q1,Q3,Q5,Q7","Package_TO_SOT_SMD:SOT-23_Handsoldering",""
"2N3905","Q2,Q4,Q6,Q8","Package_TO_SOT_SMD:SOT-23_Handsoldering",""
"10k","R12","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"1k","R13,R14","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"10 Omh","R15,R16,R17,R18","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"11 Omh","R19,R20,R21,R22","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"0.3 Omh","R23","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"11k","R24","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"18k","R25","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"STM32F030K6Tx","U1","Package_QFP:LQFP-32_7x7mm_P0.8mm",""
"MC33063AD","U2","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""